Nome,Bolsista,Doutorado,Professor
Fábio Lima ,NA,"Doutorado em Engenharia Elétrica pela Universidade de São Paulo, Brasil(2010)","Professor de Tempo Integral Adjunto I da Fundação Educacional Inaciana Padre Sabóia de Medeiros , Brasil"
Emille Eugenia de Oliveira Ishida ,NA,"Doutorado em Física pela Universidade Federal do Rio de Janeiro, Brasil(2010)",NA
Sérgio Augusto Santos de Moraes ,NA,"Doutorado em Ciência da Computação pela University of Sussex, Inglaterra(1994)","Professor da Faculdade Atenas , Brasil"
Fernando Bernardes de Oliveira ,NA,"Doutorado em Engenharia Elétrica pela Universidade Federal de Minas Gerais, Brasil(2015)","Professor Adjunto I da Universidade Federal de Ouro Preto , Brasil"
Carla Verônica Machado Marques ,NA,"Doutorado em PROGRAMA DE ENGENHARIA DE SISTEMAS E COMPUTAÇÃO pela UNIVERSIDADE FEDERAL DO RIO DE JANEIRO, Brasil(2017)",NA
Mêuser Jorge Silva Valença ,NA,"Doutorado em Ciências da Computação pela Universidade Federal de Pernambuco, Brasil(1999)","Professor Adjunto III da Universidade de Pernambuco , Brasil"
Flávio Luis de Mello ,NA,"Doutorado em Engenharia de Sistemas e Computação pelo Instituto Alberto Luiz Coimbra de Pós-Graduação e Pesquisa de Engenharia, Brasil(2006)","Professor Associado da Universidade Federal do Rio de Janeiro , Brasil"
Alessandra Alaniz Macedo ,Bolsista de Produtividade em Pesquisa 2,"Doutorado em Ciências da Computação e Matemática Computacional pela Universidade de São Paulo, Brasil(2004)","Professor Contratado da Universidade de São Paulo , Brasil"
Leandro Augusto da Silva ,NA,"Doutorado em Engenharia Elétrica pela Escola Politécnica da Universidade de São Paulo, Brasil(2009)","Professor Adjunto I da Universidade Presbiteriana Mackenzie , Brasil"
Thiago Alexandre Salgueiro Pardo ,NA,"Doutorado em Ciências da Computação e Matemática Computacional pela Universidade de São Paulo, Brasil(2005)","Professor da Universidade de São Paulo , Brasil"
Kate Cerqueira Revoredo ,NA,"Doutorado em Engenharia de Sistemas e Computação pela Universidade Federal do Rio de Janeiro, Brasil(2009)","Professor Adjunto da Universidade Federal do Estado do Rio de Janeiro , Brasil"
Fábio Henrique Antunes Vieira ,NA,"Doutorado em Engenharia Mecânica pela Universidade Estadual Paulista Júlio de Mesquita Filho, Brasil(2016)",NA
Cristiano Grijó Pitangui ,NA,"Doutorado em Engenharia de Sistemas e Computação pela Universidade Federal do Rio de Janeiro, Brasil(2013)","Professor Adjunto da Universidade Federal de São João Del-Rei , Brasil"
Flávio Rubens de Carvalho Sousa ,NA,"Doutorado em Ciências da Computação pela Universidade Federal do Ceará, Brasil(2013)",NA
Ana Carolina de Carvalho ,NA,"Doutorado em Programa de Pós-Graduação em Biologia Molecular pela Universidade Federal de São Paulo, Brasil(2013)",NA
Pablo Picasso Feliciano de Faria ,NA,"Doutorado em Lingüística pela Universidade Estadual de Campinas, Brasil(2013)","Professor Doutor I, MS 3.1 da Universidade Estadual de Campinas , Brasil"
Maria Angelica de Oliveira Camargo Brunetto ,NA,"Doutorado em Computação pela Universidade Federal do Rio Grande do Sul, Brasil(1994)",NA
Fernando Santos Osório ,NA,"Doutorado em Informatique Systèmes Et Communications pelo Institut National Polytechique de Grenoble, França(1998)",NA
Solange Oliveira Rezende ,NA,"Doutorado em Engenharia Mecânica - São Carlos pela Universidade de São Paulo, Brasil(1993)","Professora Associada da Universidade de São Paulo , Brasil"
Lúcia Helena Martins-Pacheco ,NA,"Doutorado em Engenharia de Produção pela Universidade Federal de Santa Catarina, Brasil(2002)",NA
Alex Fernandes da Veiga Machado ,NA,"Doutorado em Computação pela Universidade Federal Fluminense, Brasil(2012)","Professor do Bacharelado do Instituto Federal do Sudeste de Minas Gerais , Brasil"
Edison Ishikawa ,NA,"Doutorado em Engenharia de Sistemas e Computação pela Universidade Federal do Rio de Janeiro, Brasil(2003)","Professor Adjunto da Universidade de Brasília , Brasil"
Claudomiro de Souza de Sales Junior ,NA,"Doutorado em Engenharia Elétrica pela Universidade Federal do Pará, Brasil(2009)",NA
Solange Nice Alves de Souza ,NA,"Doutorado em Engenharia Elétrica pela Universidade de São Paulo, Brasil(1998)","Professor Doutor MS3 da Universidade de São Paulo , Brasil"
Igor Machado Coelho ,NA,"Doutorado em Computação pela Universidade Federal Fluminense, Brasil(2015)","Professor Adjunto de Computação da Universidade do Estado do Rio de Janeiro , Brasil"
Joao Sinohara da Silva Sousa ,NA,"Doutorado em Automação/Produção (Automatique/Productique) pelo Institut National Polytechnique de Grenoble, França(1997)","Professor do Instituto Federal de Educação, Ciência e Tecnologia de S. Paulo , Brasil"
Leonardo Brandão Marques ,NA,"Doutorado em Psicologia pela Universidade Federal de São Carlos, Brasil(2014)","Professor Adjunto da Universidade Federal de Alagoas , Brasil"
João Paulo Papa ,Bolsista de Produtividade em Pesquisa 1D | Orientador de Doutorado,"Doutorado em Ciência da Computação pela Universidade Estadual de Campinas, Brasil(2008)","Professor adjunto da Universidade Estadual Paulista Júlio de Mesquita Filho , Brasil"
Orivaldo de Lira Tavares ,NA,"Doutorado em Informática pela Pontifícia Universidade Católica do Rio de Janeiro, Brasil(1990)","Professor Voluntário da Universidade Federal do Espírito Santo , Brasil"
Fabio Andre Machado Porto ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Informática pela Pontifícia Universidade Católica do Rio de Janeiro, Brasil(2001)",NA
Pedro Rafael Falcone Sampaio ,NA,"Doutorado em Computer Science pela University of Manchester, Inglaterra(2000)","Lecturer (Tenured Assistant Professor) da University of Manchester , Inglaterra"
Dino Rogério Coinete Franklin ,NA,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(1996)","Professor Adjunto da Universidade Federal de Uberlândia , Brasil"
Conrado Siqueira Simao Zenun ,NA,NA,NA
Douglas Henrique Teodoro ,NA,"Doutorado em Ciências da Computação pelo Université de Genève, Suiça(2012)",NA
Paulo Afonso Medeiros Kanda ,NA,"Doutorado em Medicina (Neurologia) pela Universidade de São Paulo, Brasil(2013)",NA
Lucas de Paula Veronese ,NA,"Doutorado em Informática pela Universidade Federal do Espírito Santo, Brasil(2015)",NA
Rynaldo Zanotele Hemerly de Almeida ,NA,"Doutorado em Engenharia Mecânica de Projeto e Fabricação pela Escola Politéncnica da Universidade de São Paulo, Brasil(2013)",NA
Thiago Schiavo Mosqueiro ,NA,"Doutorado em Doutorado pelo Instituto de Física de São Carlos, Brasil(2015)",NA
Fabrício Augusto Rodrigues ,NA,"Doutorado em Engenharia Elétrica pela Universidade de São Paulo, Brasil(2012)","Professor Adjunto da Universidade Federal de Mato Grosso do Sul , Brasil"
Roberto de Alencar Lotufo ,Bolsista de Produtividade em Pesquisa 1D | Orientador de Doutorado,"Doutorado em Engenharia Elétrica pela University of Bristol, Inglaterra(1990)","Professor titular da Universidade Estadual de Campinas , Brasil"
Marconi Campos Cerqueira Junior ,NA,"Doutorado em Biology pela University of Puerto Rico, Porto Rico(2017)",NA
Fernando Antônio Asevedo Nobrega ,NA,"Doutorado em Ciencia da Computacao pela Universidade de São Paulo, Brasil(2017)",NA
Hugo Rody Vianna Silva ,NA,"Doutorado em Bioquímica Aplicada pela Universidade Federal de Viçosa, Brasil(2016)",NA
Lucas Paes Moreira ,NA,"Doutorado em Geociências Aplicadas pela Universidade de Brasília, Brasil(2013)","Professor do Instituto Federal de Brasília , Brasil"
Rodrigo Grassi Martins ,NA,"Doutorado em Engenharia Elétrica pela Universidade Federal de Uberlândia, Brasil(2017)",NA
Rafaela Nicolau dos Santos ,NA,"Doutorado em Engenharia Agrícola pela Universidade Estadual do Oeste do Paraná, Brasil(2017)",NA
Orlando Fernandes Junior ,NA,"Doutorado em Medicina (Neurologia) pela Universidade Federal Fluminense, Brasil(2014)",NA
Edson Mintsu Hung ,NA,"Doutorado em ENGENHARIA DE SISTEMAS ELETRÔNICOS E DE AUTOMAÇÃO pela Universidade de Brasília, Brasil(2012)","Professor Adjunto da Universidade de Brasília , Brasil"
Paulo de Oliveira Lima Júnior ,NA,"Doutorado em Administração pela Universidade Federal de Lavras, Brasil(2016)","Professor Ens. Básico, Técnico e Tecnológico do Centro Federal de Educação Tecnológica de Minas Gerais , Brasil"
Lucas Junqueira de Freitas Morel ,NA,"Doutorado em Biotecnologia pela Universidade de Ribeirão Preto, Brasil(2015)","Professor do Curso ""Fitoterapia Clínica"" do Centro Universitário do Triângulo , Brasil"
Alexandre de Castro ,NA,"Doutorado em Ciências (Biomatemática) pela Universidade Federal de São Paulo, Brasil(2010)",NA
Guilherme Paier Milanez ,NA,"Doutorado em Biologia Funcional e Molecular pela Universidade Estadual de Campinas, Brasil(2016)",NA
Jones Granatyr ,NA,"Doutorado em Informática pela Pontifícia Universidade Católica do Paraná, Brasil(2017)","Professor Titular da Universidade do Contestado , Brasil"
Elaine Parros Machado de Sousa ,NA,"Doutorado em Ciências da Computação e Matemática Computacional pela Universidade de São Paulo, Brasil(2006)","Professor Doutor da Universidade de São Paulo , Brasil"
Antonio Carlos da Rocha Costa ,NA,"Doutorado em Computação pela Universidade Federal do Rio Grande do Sul, Brasil(1993)",NA
Marcos André Gonçalves ,Bolsista de Produtividade em Pesquisa 1C | Orientador de Doutorado,"Doutorado em Computer Science pelo Virginia Tech, Estados Unidos(2004)","Professor Adjunto da Universidade Federal de Minas Gerais , Brasil"
Paulo de Faria Borges ,NA,"Doutorado em Física pela Universidade Federal do Rio de Janeiro, Brasil(2000)","Professor da Universidade Federal Fluminense , Brasil"
Giseli de Sousa ,NA,"Doutorado em Ciência da Computação pela University of Hertfordshire, Inglaterra(2012)",NA
Rodrigo Laiola Guimarães ,NA,"Doutorado em Ciência da Computação pelo Vrije Universiteit, Holanda(2014)","Professor, Classe Adjunto-A, Nível 01 da Universidade Federal do Espírito Santo , Brasil"
Daniel Antonio Callegari ,NA,"Doutorado em Ciência da Computação pela Pontifícia Universidade Católica do Rio Grande do Sul, Brasil(2010)","Professor Adjunto da Pontifícia Universidade Católica do Rio Grande do Sul , Brasil"
Thiago Oliveira dos Santos ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em PhD in Biomedical Engineering pelo Universität Bern, Suiça(2011)","Professor Adjunto A da Universidade Federal do Espírito Santo , Brasil"
Jorge Luiz e Silva ,NA,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(1992)","Professor Adjunto da Universidade de São Paulo , Brasil"
Edgard Thomas Martins ,NA,"Doutorado em Doutorado em Saúde Pública pela Fundação Oswaldo Cruz, Brasil(2010)","professor adjunto da Universidade Federal de Pernambuco , Brasil"
Walter Issamu Suemitsu ,NA,"Doutorado em Génie Électrique pelo École National Supérieur D'ingénieurs Électriciens de Grenoble, França(1986)","PROFESSOR TITULAR da Universidade Federal do Rio de Janeiro , Brasil"
Duncan Dubugras Alcoba Ruiz ,NA,"Doutorado em Computação pela Universidade Federal do Rio Grande do Sul, Brasil(1995)","Professor Titular da Pontifícia Universidade Católica do Rio Grande do Sul , Brasil"
Roseli Suzi Wedemann ,NA,"Doutorado em Engenharia de Sistemas e Computação pela Universidade Federal do Rio de Janeiro, Brasil(1995)","Professor Associado da Universidade do Estado do Rio de Janeiro , Brasil"
Ivan Luiz Marques Ricarte ,NA,"Doutorado em Engenharia Elétrica pela University System of Maryland, Estados Unidos(1994)","Professor Titular da Universidade Estadual de Campinas , Brasil"
Gilson Antonio Giraldi ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Engenharia de Sistemas e Computação pela Universidade Federal do Rio de Janeiro, Brasil(2000)",NA
Luiz Henrique Antunes Rodrigues ,NA,"Doutorado em Agricultural Engineering pela Cranfield University, Inglaterra(1995)","Professor Assistente Doutor da Universidade Estadual de Campinas , Brasil"
Arthur Plínio de Souza Braga ,NA,"Doutorado em Engenharia Elétrica [São Carlos] pela Universidade de São Paulo, Brasil(2004)","Professor Adjunto da Universidade Federal do Ceará , Brasil"
André Santanchè ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Ciência da Computação pela Universidade Estadual de Campinas, Brasil(2006)","Professor da Universidade Estadual de Campinas , Brasil"
Eneida Abrantes Mendonça ,NA,"Doutorado em Biomedical Informatics pela Columbia University, Estados Unidos(2002)",NA
Gabriel de França Pereira e Silva ,NA,"Doutorado em Engenharia Elétrica pela Universidade Federal de Pernambuco, Brasil(2014)",NA
Tatiane Regina Bonfim ,NA,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(2006)",NA
Glauston Roberto Teixeira de Lima ,NA,"Doutorado em Engenharia Eletrônica e Computação pelo Instituto Tecnológico de Aeronáutica, Brasil(2008)",NA
Murilo Barreto Souza ,NA,"Doutorado em Oftalmologia pela Universidade de São Paulo, Brasil(2011)",NA
Laura Silva de Assis ,NA,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(2014)","Professor Doutor do Centro Federal de Educação Tecnológica Celso Suckow da Fonseca , Brasil"
Denis Fernando Wolf ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Ciencia da Computacao pela University of Southern California, Estados Unidos(2006)","Professor Associado da Universidade de São Paulo , Brasil"
Raul Fonseca Neto ,NA,"Doutorado em Engenharia de Sistemas e Computação pela Universidade Federal do Rio de Janeiro, Brasil(1990)","Professor Titular da Universidade Federal de Juiz de Fora , Brasil"
Kelton Augusto Pontara da Costa ,NA,"Doutorado em Engenharia Elétrica pela Universidade de São Paulo - São Carlos, Brasil(2009)","Professor Pleno I da Faculdade de Tecnologia de Bauru , Brasil"
Leandro Krug Wives ,NA,"Doutorado em Computação pela Universidade Federal do Rio Grande do Sul, Brasil(2004)","Professor Associado da Universidade Federal do Rio Grande do Sul , Brasil"
Li Weigang ,Bolsista de Produtividade em Pesquisa 1D | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em ITA pelo Instituto Tecnológico de Aeronáutica, Brasil(1994)","Professor Titular da Universidade de Brasília , Brasil"
Marcelo Ladeira ,NA,"Doutorado em Computação pela Universidade Federal do Rio Grande do Sul, Brasil(2000)","Professor Adjunto 2 da Universidade de Brasília , Brasil"
Walmir Matos Caminhas ,Bolsista de Produtividade em Pesquisa 1C | Orientador de Doutorado,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(1997)","Professor Titular da Universidade Federal de Minas Gerais , Brasil"
Lucelene Lopes ,NA,"Doutorado em Ciência da Computação pela Pontifícia Universidade Católica do Rio Grande do Sul, Brasil(2012)",NA
Felipe Afonso de Almeida ,NA,"Doutorado em Computer Science pela University of Kent at Canterbury, Inglaterra(1992)",NA
João Moreno Vilas Boas de Souza Silva ,NA,"Doutorado em Engenharia Mecânica pela Universidade Federal do Rio Grande do Norte, Brasil(2011)","Professor Efetivo D3-4 do Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte , Brasil"
Isis Didier Lins ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Engenharia de Produção pela Universidade Federal de Pernambuco, Brasil(2013)","Professor Adjunto A-2 da Universidade Federal de Pernambuco , Brasil"
Marcelo de Souza Lauretto ,NA,"Doutorado em Bioinformática pela Universidade de São Paulo, Brasil(2007)","Professor Doutor (MS-3) Nível 2 da Universidade de São Paulo , Brasil"
